001:a:534,545:OK=en_GB
001:abandon:546,554:OK=en_GB
001:abase:555,558:OK=en_GB
001:abash:559,563:OK=en_GB
001:abate:564,569:OK=en_GB
001:abbacy:570,571:X
001:abbey:572,573:OK=en_GB
001:abbot:574,576:OK=en_GB
001:abbreviate:577,580:OK=en_GB
001:abdicate:581,584:OK=en_GB
001:abdomen:585,586:OK=en_GB
001:abduct:587,589:OK=en_GB
001:aberration:590,592:OK=en_GB
001:abet:593,595:OK=en_GB
001:abeyance:596,597:OK=en_GB
001:abhor:598,603:OK=en_GB
001:abide:604,614:OK=en_GB
001:abject:615,618:OK=en_GB
001:abjure:619,621:OK=en_GB
001:ablative:622,623:OK=en_GB
001:ablaze:624,626:OK=en_GB
002:able:627,639:OK=en_GB
002:ablution:640,641:OK=en_GB
002:abnegation:642,645:OK=en_GB
002:abnormal:646,648:OK=en_GB
002:aboard:649,651:OK=en_GB
002:abode:652,657:OK=en_GB
002:abolish:658,662:OK=en_GB
002:abominate:663,667:OK=en_GB
002:aboriginal:668,669:OK=en_GB
002:aborigines:670,671:OK=en_GB
002:abortion:672,677:OK=en_GB
002:abound:678,686:OK=en_GB
002:about:687,710:OK=en_GB
002:above:711,720:OK=en_GB
002:abrade:721,723:OK=en_GB
002:abreast:724,725:OK=en_GB
002:abridge:726,728:OK=en_GB
002:abroad:729,738:OK=en_GB
002:abrogate:739,740:OK=en_GB
002:abrupt:741,744:OK=en_GB
002:abscess:745,746:OK=en_GB
002:abscond:747,750:OK=en_GB
002:absent:751,762:OK=en_GB
003:absolute:763,769:OK=en_GB
003:absolve:770,775:OK=en_GB
003:absonant:776,777:X
003:absorb:778,786:OK=en_GB
003:abstain:787,796:OK=en_GB
003:abstemious:797,800:OK=en_GB
003:abstersion:801,802:X
003:abstract:803,810:OK=en_GB
003:abstruse:811,813:OK=en_GB
003:absurd:814,820:OK=en_GB
003:abuse:821,831:OK=en_GB
003:abut:832,833:OK=en_GB
003:abysm:834,835:X
003:abyss:836,838:OK=en_GB
003:academy:839,840:OK=en_GB
003:accede:841,844:OK=en_GB
003:accelerate:845,847:OK=en_GB
003:accent:848,851:OK=en_GB
003:accept:852,858:OK=en_GB
003:access:859,871:OK=en_GB
003:accident:872,883:OK=en_GB
003:acclamation:884,887:OK=en_GB
004:acclivity:888,889:OK=en_GB
004:accommodate:890,897:OK=en_GB
004:accompany:898,906:OK=en_GB
004:accomplice:907,908:OK=en_GB
004:accomplish:909,916:OK=en_GB
004:accord:917,932:OK=en_GB
004:accost:933,935:OK=en_GB
004:accouchement:936,937:X
004:accoucheur:938,939:X
004:account:940,957:OK=en_GB
004:accoutre:958,960:OK=en_GB
004:accredit:961,964:OK=en_GB
004:accrescent:965,967:X
004:accretion:968,969:OK=en_GB
004:accrue:970,973:OK=en_GB
004:accubation:974,975:X
004:accumbent:976,977:X
004:accumulate:978,982:OK=en_GB
004:accurate:983,987:OK=en_GB
004:accurse:988,993:X
004:accusative:994,995:OK=en_GB
004:accuse:996,1003:OK=en_GB
004:accustom:1004,1007:OK=en_GB
004:ace:1008,1010:OK=en_GB
004:acerb:1011,1014:X
004:acetic:1015,1016:OK=en_GB
004:acetify:1017,1018:X
004:ache:1019,1025:OK=en_GB
005:achieve:1026,1031:OK=en_GB
005:acicular:1032,1033:X
005:acid:1034,1039:OK=en_GB
005:aciform:1040,1041:X
005:acknowledge:1042,1047:OK=en_GB
005:acme:1048,1049:OK=en_GB
005:acoustic:1050,1052:OK=en_GB
005:acquaint:1053,1064:OK=en_GB
005:acqulesce:1065,1067:X
005:acquire:1068,1073:OK=en_GB
005:acquit:1074,1082:OK=en_GB
005:acrid:1083,1086:OK=en_GB
005:acrobat:1087,1088:OK=en_GB
005:across:1089,1094:OK=en_GB
005:act:1095,1135:OK=en_GB
005:actuate:1136,1138:OK=en_GB
005:acumen:1139,1140:OK=en_GB
005:acute:1141,1145:OK=en_GB
005:adage:1146,1147:OK=en_GB
005:adamant:1148,1150:OK=en_GB
005:adapt:1151,1159:OK=en_GB
006:add:1160,1179:OK=en_GB
006:addict:1180,1186:OK=en_GB
006:addle:1187,1189:OK=en_GB
006:address:1190,1208:OK=en_GB
006:adduce:1209,1212:OK=en_GB
006:adept:1213,1214:OK=en_GB
006:adequate:1215,1218:OK=en_GB
006:adhere:1219,1229:OK=en_GB
006:adieu:1230,1233:OK=en_GB
006:adjacent:1234,1237:OK=en_GB
006:adjective:1238,1239:OK=en_GB
006:adjoin:1240,1242:OK=en_GB
006:adjourn:1243,1245:OK=en_GB
006:adjudge:1246,1248:OK=en_GB
006:adjudicate:1249,1250:OK=en_GB
006:adjunct:1251,1252:OK=en_GB
006:adjure:1253,1255:OK=en_GB
006:adjust:1256,1260:OK=en_GB
006:adjutant:1261,1262:OK=en_GB
006:admeasure:1263,1264:X
006:administer:1265,1276:OK=en_GB
006:admiral:1277,1278:OK=en_GB
006:admire:1279,1287:OK=en_GB
007:admit:1288,1301:OK=en_GB
007:admix:1302,1304:OK=en_US
007:admonish:1305,1311:OK=en_GB
007:ado:1312,1313:OK=en_GB
007:adolescence:1314,1316:OK=en_GB
007:adopt:1317,1324:OK=en_GB
007:adore:1325,1330:OK=en_GB
007:adorn:1331,1334:OK=en_GB
007:adrift:1335,1337:OK=en_GB
007:adroit:1338,1341:OK=en_GB
007:adry:1342,1343:X
007:adulate:1344,1349:OK=en_GB
007:adult:1350,1352:OK=en_GB
007:adulterate:1353,1355:OK=en_GB
007:aduitery:1356,1362:X
007:adumbrate:1363,1366:OK=en_GB
007:adust:1367,1368:X
007:advance:1369,1387:OK=en_GB
007:advantage:1388,1399:OK=en_GB
007:advent:1400,1404:OK=en_GB
007:adventure:1405,1412:OK=en_GB
007:adverb:1413,1414:OK=en_GB
007:adverse:1415,1421:OK=en_GB
008:advert:1422,1427:OK=en_GB
008:advertise:1428,1432:OK=en_GB
008:advise:1433,1442:OK=en_GB
008:advocate:1443,1447:OK=en_GB
008:adze:1448,1449:OK=en_GB
008:aerial:1450,1451:OK=en_GB
008:aeroplane:1452,1453:OK=en_GB
008:aery:1454,1456:X
008:afar:1457,1459:OK=en_GB
008:affable:1460,1464:OK=en_GB
008:affair:1465,1466:OK=en_GB
008:affect:1467,1498:OK=en_GB
008:affiance:1499,1501:OK=en_GB
008:affidavit:1502,1504:OK=en_GB
008:affillate:1505,1506:X
008:affinity:1507,1509:OK=en_GB
008:affirm:1510,1519:OK=en_GB
008:affix:1520,1522:OK=en_GB
008:afflict:1523,1530:OK=en_GB
008:affluence:1531,1536:OK=en_GB
008:afford:1537,1539:OK=en_GB
008:affray:1540,1541:OK=en_GB
008:affright:1542,1545:OK=en_GB
008:affront:1546,1550:OK=en_GB
008:affusion:1551,1552:X
008:afire:1553,1555:OK=en_GB
009:afloat:1556,1558:OK=en_GB
009:afoot:1559,1562:OK=en_GB
009:afore:1563,1567:OK=en_GB
009:afraid:1568,1571:OK=en_GB
009:afresh:1572,1573:OK=en_GB
009:after:1574,1600:OK=en_GB
009:again:1601,1605:OK=en_GB
009:against:1606,1616:OK=en_GB
009:agape:1617,1619:OK=en_GB
009:agastric:1620,1621:X
009:age:1622,1634:OK=en_GB
009:agends:1635,1636:X
009:agent:1637,1644:OK=en_GB
009:agglomerate:1645,1647:OK=en_GB
009:agglutinate:1648,1650:OK=en_GB
009:aggrandize:1651,1655:OK=en_GB
009:aggravate:1656,1660:OK=en_GB
009:aggregate:1661,1666:OK=en_GB
009:aggress:1667,1673:X
009:aggrieve:1674,1676:OK=en_GB
009:aghast:1677,1679:OK=en_GB
009:agile:1680,1681:OK=en_GB
009:agitate:1682,1691:OK=en_GB
010:aglow:1692,1693:OK=en_GB
010:agnate:1694,1695:X
010:agnostic:1696,1697:OK=en_GB
010:ago:1698,1701:OK=en_GB
010:agony:1702,1706:OK=en_GB
010:agrarian:1707,1708:OK=en_GB
010:agree:1709,1729:OK=en_GB
010:agrestic:1730,1731:X
010:agriculture:1732,1736:OK=en_GB
010:agronomial:1737,1739:X
010:aground:1740,1741:OK=en_GB
010:ague:1742,1745:OK=en_GB
010:aguerried:1746,1747:X
010:ah:1748,1749:OK=en_GB
010:ahead:1750,1751:OK=en_GB
010:aheap:1752,1753:X
010:aid:1754,1759:OK=en_GB
010:all:1760,1764:OK=en_GB
010:aim:1765,1776:OK=en_GB
010:air:1777,1796:OK=en_GB
010:ait:1797,1798:X
010:ajar:1799,1800:OK=en_GB
010:akin:1801,1803:OK=en_GB
010:alack:1804,1805:OK=en_GB
010:alacrity:1806,1808:OK=en_GB
010:alar:1809,1810:X
010:alarm:1811,1821:OK=en_GB
011:alas:1822,1824:OK=en_GB
011:alate:1825,1826:X
011:albeit:1827,1828:OK=en_GB
011:albescent:1829,1830:X
011:albugineous:1831,1832:X
011:albugo:1833,1834:X
011:albumen:1835,1836:OK=en_GB
011:alchemy:1837,1839:OK=en_GB
011:alcohol:1840,1841:OK=en_GB
011:alcoran:1842,1843:X
011:alcove:1844,1845:OK=en_GB
011:alderman:1846,1847:OK=en_GB
011:ale:1848,1851:OK=en_GB
011:aleatory:1852,1853:OK=en_GB
011:alert:1854,1857:OK=en_GB
011:alias:1858,1860:OK=en_GB
011:alibl:1861,1862:X
011:algebra:1863,1865:OK=en_GB
011:alien:1866,1873:OK=en_GB
011:alight:1874,1876:OK=en_GB
011:alight:1877,1878:OK=en_GB
011:alike:1879,1880:OK=en_GB
011:aliment:1881,1884:OK=en_GB
011:alive:1885,1889:OK=en_GB
011:alkali:1890,1893:OK=en_GB
011:all:1894,1916:OK=en_GB
011:allay:1917,1922:OK=en_GB
011:allege:1923,1930:OK=en_GB
011:allegiance:1931,1933:OK=en_GB
011:allegory:1934,1938:OK=en_GB
011:alleviate:1939,1944:OK=en_GB
011:alley:1945,1947:OK=en_GB
011:alligate:1948,1950:X
011:alligator:1951,1952:OK=en_GB
011:alliteration:1953,1954:OK=en_GB
011:allocate:1955,1957:OK=en_GB
011:allot:1958,1961:OK=en_GB
011:allow:1962,1974:OK=en_GB
012:alloy:1975,1978:OK=en_GB
012:allude:1979,1986:OK=en_GB
012:allure:1987,1991:OK=en_GB
012:alluvium:1992,1994:OK=en_GB
012:ally:1995,2000:OK=en_GB
012:almanac:2001,2002:OK=en_GB
012:almighty:2003,2005:OK=en_GB
012:almond:2006,2007:OK=en_GB
012:almonry:2008,2010:X
012:almost:2011,2019:OK=en_GB
012:alms:2020,2025:OK=en_GB
012:aloe:2026,2027:OK=en_GB
012:aloft:2028,2030:OK=en_GB
012:alone:2031,2033:OK=en_GB
012:along:2034,2041:OK=en_GB
012:aloof:2042,2044:OK=en_GB
012:alopecia:2045,2046:X
012:aloud:2047,2050:OK=en_GB
012:alphabet:2051,2053:OK=en_GB
012:already:2054,2057:OK=en_GB
012:also:2058,2060:OK=en_GB
012:altar:2061,2062:OK=en_GB
012:altar:2063,2069:OK=en_GB
012:altercate:2070,2072:OK=en_GB
012:alterego:2073,2074:X
012:alternate:2075,2084:OK=en_GB
012:although:2085,2086:OK=en_GB
012:altimeter:2087,2088:OK=en_GB
012:altitude:2089,2090:OK=en_GB
012:altogether:2091,2094:OK=en_GB
012:alum:2095,2096:OK=en_GB
012:alveary:2097,2098:X
012:always:2099,2101:OK=en_GB
012:amain:2102,2104:OK=en_US
012:amalgam:2105,2109:OK=en_GB
012:amanuensis:2110,2112:OK=en_GB
013:amaranth:2113,2115:OK=en_GB
013:amass:2116,2119:OK=en_GB
013:amatory:2120,2121:OK=en_GB
013:amaze:2122,2129:OK=en_GB
013:ambages:2130,2131:X
013:ambassador:2132,2135:OK=en_GB
013:amber:2136,2137:OK=en_GB
013:ambidextrous:2138,2140:OK=en_GB
013:ambient:2141,2143:OK=en_GB
013:ambiguous:2144,2148:OK=en_GB
013:ambit:2149,2150:OK=en_GB
013:ambition:2151,2160:OK=en_GB
013:amble:2161,2163:OK=en_GB
013:ambrosia:2164,2167:OK=en_GB
013:ambulate:2168,2170:OK=en_GB
013:ambush:2171,2174:OK=en_GB
013:ameliorate:2175,2178:OK=en_GB
013:amen:2179,2180:OK=en_GB
013:amenable:2181,2184:OK=en_GB
013:amend:2185,2193:OK=en_GB
013:amenity:2194,2195:OK=en_GB
013:amerce:2196,2197:OK=en_GB
013:amiable:2198,2202:OK=en_GB
013:amicable:2203,2208:OK=en_GB
013:amid:2209,2214:OK=en_GB
013:amiss:2215,2218:OK=en_GB
013:amity:2219,2220:OK=en_GB
013:ammunition:2221,2222:OK=en_GB
013:amnesia:2223,2224:OK=en_GB
013:amnesty:2225,2227:OK=en_GB
013:among:2228,2233:OK=en_GB
013:amoretto:2234,2235:X
013:amorous:2236,2240:OK=en_GB
013:amount:2241,2257:OK=en_GB
014:amphibious:2258,2259:OK=en_GB
014:amphibiology:2260,2261:X
014:amphitheatre:2262,2263:OK=en_GB
014:ample:2264,2273:OK=en_GB
014:amputate:2274,2276:OK=en_GB
014:amulet:2277,2278:OK=en_GB
014:amuse:2279,2284:OK=en_GB
014:anachronism:2285,2287:OK=en_GB
014:anaesthetic:2288,2289:OK=en_GB
014:anagogy:2290,2291:X
014:anagraph:2292,2293:X
014:analogy:2294,2298:OK=en_GB
014:analphabete:2299,2300:X
014:analyze:2301,2305:OK=en_US
014:anaphrodisiac:2306,2307:X
014:anarchy:2308,2312:OK=en_GB
014:anathema:2313,2315:OK=en_GB
014:anatomy:2316,2320:OK=en_GB
014:ancestor:2321,2325:OK=en_GB
014:anchor:2326,2329:OK=en_GB
014:anchorite:2330,2332:OK=en_GB
014:ancient:2333,2338:OK=en_GB
014:ancipital:2339,2340:X
014:and:2341,2357:OK=en_GB
014:androgynous:2358,2359:OK=en_GB
014:aneal:2360,2361:X
014:anear:2362,2364:X
014:anecdote:2365,2366:OK=en_GB
014:anemograph:2367,2368:X
014:anemometer:2369,2370:OK=en_GB
014:anent:2371,2373:OK=en_US
014:anew:2374,2375:OK=en_GB
014:angel:2376,2379:OK=en_GB
014:anger:2380,2386:OK=en_GB
014:angle:2387,2391:OK=en_GB
014:anguish:2392,2394:OK=en_GB
014:anhelation:2395,2397:X
015:animadvert:2398,2402:OK=en_GB
015:animal:2403,2410:OK=en_GB
015:animate:2411,2419:OK=en_GB
015:animosity:2420,2421:OK=en_GB
015:animus:2422,2423:OK=en_GB
015:anise:2424,2425:OK=en_GB
015:ankle:2426,2427:OK=en_GB
015:anklet:2428,2429:OK=en_GB
015:annals:2430,2433:OK=en_GB
015:annex:2434,2442:OK=en_GB
015:annihilate:2443,2447:OK=en_GB
015:anniversary:2448,2451:OK=en_GB
015:annotate:2452,2456:OK=en_GB
015:announce:2457,2461:OK=en_GB
015:annoy:2462,2466:OK=en_GB
015:annual:2467,2470:OK=en_GB
015:annuity:2471,2472:OK=en_GB
015:annul:2473,2475:OK=en_GB
015:annular:2476,2477:OK=en_GB
015:annulet:2478,2479:X
015:anodyne:2480,2481:OK=en_GB
015:anoint:2482,2487:OK=en_GB
015:anomaly:2488,2492:OK=en_GB
015:anon:2493,2495:OK=en_GB
015:anonymous:2496,2499:OK=en_GB
015:another:2500,2506:OK=en_GB
015:answer:2507,2521:OK=en_GB
015:ant:2522,2524:OK=en_GB
015:antagonist:2525,2528:OK=en_GB
015:antarctic:2529,2530:OK=en_US
015:antecedent:2531,2533:OK=en_GB
015:antechamber:2534,2535:OK=en_GB
015:antedate:2536,2537:OK=en_GB
015:antediluvian:2538,2541:OK=en_GB
016:antelope:2542,2544:OK=en_GB
016:anterior:2545,2546:OK=en_GB
016:anthem:2547,2548:OK=en_GB
016:anthropology:2549,2550:OK=en_GB
016:anthropophagi:2551,2553:X
016:antic:2554,2556:OK=en_GB
016:antichamber:2557,2558:X
016:anticipate:2559,2563:OK=en_GB
016:antidote:2564,2568:OK=en_GB
016:antimony:2569,2570:OK=en_GB
016:antipathy:2571,2573:OK=en_GB
016:antiphony:2574,2575:X
016:antipodes:2576,2578:OK=en_GB
016:antipyrin:2579,2580:X
016:antiquary:2581,2583:OK=en_GB
016:antiquated:2584,2589:OK=en_GB
016:antiseptic:2590,2591:OK=en_GB
016:antithesis:2592,2594:OK=en_GB
016:antitype:2595,2596:X
016:antler:2597,2599:OK=en_GB
016:anus:2600,2601:OK=en_GB
016:anvil:2602,2603:OK=en_GB
016:anxiety:2604,2615:OK=en_GB
016:any:2616,2627:OK=en_GB
016:apace:2628,2629:OK=en_GB
016:apart:2630,2641:OK=en_GB
016:apathy:2642,2645:OK=en_GB
016:ape:2646,2650:OK=en_GB
016:apepsy:2651,2652:X
016:aperient:2653,2654:X
016:aperture:2655,2656:OK=en_GB
016:apetalous:2657,2658:X
016:apex:2659,2661:OK=en_GB
016:aphorism:2662,2663:OK=en_GB
016:apiary:2664,2666:OK=en_GB
016:apiece:2667,2668:OK=en_GB
016:apocryphal:2669,2670:OK=en_GB
016:apologue:2671,2672:X
016:apology:2673,2680:OK=en_GB
016:apophlegmatic:2681,2682:X
016:apophthegm:2683,2684:OK=en_GB
016:apoplexy:2685,2686:OK=en_GB
016:apostate:2687,2692:OK=en_GB
016:apostle:2693,2695:OK=en_GB
017:apostrophe:2696,2698:OK=en_GB
017:apothecary:2699,2701:OK=en_GB
017:appall:2702,2706:OK=en_US
017:apparatus:2707,2708:OK=en_GB
017:apparel:2709,2711:OK=en_GB
017:apparent:2712,2720:OK=en_GB
017:apparition:2721,2723:OK=en_GB
017:appeal:2724,2729:OK=en_GB
017:appear:2730,2742:OK=en_GB
017:appease:2743,2747:OK=en_GB
017:appellation:2748,2750:OK=en_GB
017:append:2751,2755:OK=en_GB
017:appertain:2756,2759:OK=en_GB
017:appetite:2760,2763:OK=en_GB
017:applaud:2764,2771:OK=en_GB
017:apple:2772,2775:OK=en_GB
017:apply:2776,2810:OK=en_GB
017:appoint:2811,2823:OK=en_GB
017:apportion:2824,2826:OK=en_GB
018:apposite:2827,2829:OK=en_GB
018:apposition:2830,2831:OK=en_GB
018:appraise:2832,2834:OK=en_GB
018:appreciate:2835,2840:OK=en_GB
018:apprehend:2841,2851:OK=en_GB
018:apprentice:2852,2855:OK=en_GB
018:apprise:2856,2857:OK=en_GB
018:approach:2858,2868:OK=en_GB
018:appropriate:2869,2876:OK=en_GB
018:approve:2877,2888:OK=en_GB
018:approximate:2889,2895:OK=en_GB
018:april:2896,2897:X
018:apron:2898,2900:OK=en_GB
018:apropos:2901,2902:OK=en_GB
018:apt:2903,2917:OK=en_GB
018:aquarium:2918,2919:OK=en_GB
018:aquatic:2920,2923:OK=en_GB
018:aqueduct:2924,2925:OK=en_GB
018:aqueous:2926,2928:OK=en_GB
018:aquiline:2929,2931:OK=en_GB
018:arable:2932,2933:OK=en_GB
018:arbiter:2934,2940:OK=en_GB
018:arbitrary:2941,2945:OK=en_GB
018:arbour:2946,2948:OK=en_GB
018:arc:2949,2950:OK=en_GB
018:arcade:2951,2952:OK=en_GB
018:arcadian:2953,2954:X
018:arch:2955,2964:OK=en_GB
019:archaic:2965,2966:OK=en_GB
019:archaism:2967,2968:OK=en_GB
019:archaeology:2969,2970:OK=en_GB
019:archer:2971,2974:OK=en_GB
019:archetype:2975,2976:OK=en_GB
019:archipelago:2977,2978:OK=en_GB
019:architect:2979,2984:OK=en_GB
019:archives:2985,2986:OK=en_GB
019:arctic:2987,2988:OK=en_US
019:ardent:2989,2995:OK=en_GB
019:arduous:2996,2998:OK=en_GB
019:area:2999,3001:OK=en_GB
019:arena:3002,3003:OK=en_GB
019:argent:3004,3005:OK=en_GB
019:argue:3006,3019:OK=en_GB
019:arid:3020,3022:OK=en_GB
019:aright:3023,3025:OK=en_GB
019:arise:3026,3034:OK=en_GB
019:aristocracy:3035,3038:OK=en_GB
019:arithmetic:3039,3041:OK=en_GB
019:ark:3042,3043:OK=en_GB
019:arm:3044,3058:OK=en_GB
019:armada:3059,3060:OK=en_GB
019:armament:3061,3063:OK=en_GB
019:armistice:3064,3066:OK=en_GB
019:armorial:3067,3069:OK=en_GB
019:armour:3070,3075:OK=en_GB
019:army:3076,3079:OK=en_GB
019:aroma:3080,3083:OK=en_GB
019:around:3084,3086:OK=en_GB
019:arouse:3087,3090:OK=en_GB
019:arraign:3091,3092:OK=en_GB
019:arrange:3093,3105:OK=en_GB
019:arrant:3106,3109:OK=en_GB
020:array:3110,3116:OK=en_GB
020:arrear:3117,3122:OK=en_US
020:arrest:3123,3132:OK=en_GB
020:arrive:3133,3137:OK=en_GB
020:arrogance:3138,3144:OK=en_GB
020:arrogate:3145,3148:OK=en_GB
020:arrow:3149,3152:OK=en_GB
020:arsenal:3153,3155:OK=en_GB
020:arsenic:3156,3157:OK=en_GB
020:arson:3158,3159:OK=en_GB
020:art:3160,3180:OK=en_GB
020:artery:3181,3182:OK=en_GB
020:article:3183,3185:OK=en_GB
020:articulate:3186,3193:OK=en_GB
