005:aciform:1040,1041:S
005:acqulesce:1065,1067:E=acquiesce
007:aduitery:1356,1362:E=adultery
007:adust:1367,1368:S
008:affillate:1505,1506:E=affiliate
009:agastric:1620,1621:S
009:agends:1635,1636:E=agenda
010:agronomial:1737,1739:S
011:albugineous:1831,1832:S
011:alibl:1861,1862:E=alibi
014:anear:2362,2364:S
016:antipyrin:2579,2580:S
022:assimulate:3413,3414:S
023:attemper:3617,3619:S
025:anthor:3797,3802:E=author
029:bastile:4385,4386:S
032:bellesletters:4804,4805:SP=belles letters
034:biformed:5192,5193:S
036:bleareyed:5433,5435:SP=blear-eyed
037:bllithe:5513,5517:E=blithe
038:boaconstrictor:5653,5654:SP=boa-constrictor
039:bonton:5814,5815:S
040:bourn:5949,5950:S
040:boycot:6000,6002:S
046:caeesura:6815,6816:S (ae diphthong)
046:calcarecus:6841,6842:E=calcareous
046:caligraphy:6873,6874:S
047:candify:7010,7011:S
048:cantillate:7072,7073:S
048:capcase:7131,7132:S
049:captaln:7183,7186:E=captain (Google missed)
051:castoroil:7491,7492:SP=castor-oil
051:caterpiliar:7581,7582:E=caterpillar
051:catholie:7591,7594:E=catholic
053:cephaiagy:7789,7790:E=cephalagy
054:chare:8027,8028:S
056:chlnacloth:8297,8298:S=chinacloth
057:chirt:8331,8332:S
057:chouse:8390,8391:S
057:chubfaced:8421,8422:SP=chub-faced
058:cidavaunt:8473,8474:S
058:circumiuse:8551,8554:E=circumfuse
058:circumvest:8601,8603:S
062:coalise:9087,9088:S
063:coefficacy:9174,9175:S
063:cogglestone:9217,9218:S
063:colaborator:9294,9295:S
063:colation:9298,9299:S
066:commentitious:9650,9651:S
066:commination:9658,9659:S
068:compatrlot:9834,9836:E=compatriot
069:compotation:10019,10020:S
072:condult:10353,10354:E=conduit
073:congenlte:10554,10555:E=congenite
075:cosistory:10836,10837:E=consistory
077:conterntinous:11090,11092:E=conterminous
077:conterraneous:11093,11094:S
078:contlnent:11117,11123:E=continent
081:cornuted:11589,11590:S
082:corse:11710,11711:S
082:cosmlcal:11730,11731:E=cosmical
082:cosufferer:11764,11765:S
085:cratch:12160,12161:S
086:credlble:12233,12238:E=credible
086:crepuscle:12274,12275:S
087:crimsen:12328,12333:S=crimson
087:crincum:12334,12335:S
087:croceous:12388,12389:S
088:cruset:12543,12544:S
092:dandriff:13031,13032:S
094:debonalr:13288,13290:E=debonair
095:decilne:13424,13442:E=decline
096:defacto:13570,13571:SP=de facto
097:deflour:13678,13683:S
097:daity:13776,13777:E=deity
098:delate:13793,13795:S
099:demarkation:13983,13984:S
